@relation FightDataForLogisticRegression2

@attribute Winner {Red,Blue,Draw}
@attribute B_avg_BODY_landed numeric
@attribute B_avg_HEAD_landed numeric
@attribute B_avg_KD numeric
@attribute B_avg_LEG_landed numeric
@attribute B_avg_PASS numeric
@attribute B_avg_REV numeric
@attribute B_avg_SUB_ATT numeric
@attribute B_avg_TD_landed numeric
@attribute B_losses numeric
@attribute B_total_title_bouts numeric
@attribute B_win_by_Decision_Majority numeric
@attribute B_win_by_Decision_Split numeric
@attribute B_win_by_Decision_Unanimous numeric
@attribute B_win_by_KO/TKO numeric
@attribute B_win_by_Submission numeric
@attribute B_win_by_TKO_Doctor_Stoppage numeric
@attribute B_Reach_cms numeric
@attribute R_avg_BODY_landed numeric
@attribute R_avg_HEAD_landed numeric
@attribute R_avg_KD numeric
@attribute R_avg_LEG_landed numeric
@attribute R_avg_PASS numeric
@attribute R_avg_REV numeric
@attribute R_avg_SUB_ATT numeric
@attribute R_avg_TD_landed numeric
@attribute R_losses numeric
@attribute R_total_title_bouts numeric
@attribute R_win_by_Decision_Majority numeric
@attribute R_win_by_Decision_Split numeric
@attribute R_win_by_Decision_Unanimous numeric
@attribute R_win_by_KO/TKO numeric
@attribute R_win_by_Submission numeric
@attribute R_win_by_TKO_Doctor_Stoppage numeric
@attribute R_Reach_cms numeric
@attribute B_age numeric
@attribute R_age numeric

@data
Blue,1.428571,13.285714,0.285714,0.714286,1.285714,0,0.571429,0.857143,5,2,0,0,1,1,0,0,187.96,12.714286,36.714286,0.071429,14.357143,1.5,0.071429,0.428571,1.785714,6,1,0,1,5,0,2,0,190.5,30,34
Red,3.875,11.5,0.25,1.875,1.25,0.125,1,1.125,2,0,0,0,0,1,5,0,203.2,11.533333,13.4,0.533333,4.533333,0.2,0,0.2,0.266667,6,1,1,0,2,6,0,0,203.2,41,38
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,3.333333,13.166667,0.166667,0.333333,4,0.333333,0.666667,2.166667,1,0,0,0,2,1,2,0,177.8,22,27
Red,8,29.666667,0,8,0.666667,0,0.333333,0.333333,2,0,0,0,0,0,1,0,190.5,3,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,213.36,26,26
Red,18,41,0,7,1,0,0,2,0,0,0,0,1,0,0,0,170.18,6.25,52.75,0,4.25,1.5,0,0.25,1,3,1,0,0,0,1,0,0,175.26,34,36
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,187.96,7.7,22.1,0.2,4.7,1.7,0.3,0.1,0.9,4,0,0,1,4,1,0,0,195.58,31,29
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,187.96,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,26,25
Red,4.2,24.9,0.4,1.7,1.5,0.2,0.4,1.8,6,0,0,2,0,0,2,0,185.42,1.666667,9.666667,0,0.333333,1,0.333333,0,1,2,0,0,1,0,0,0,0,187.96,34,34
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,6,11.333333,0.333333,5.666667,1.166667,0.166667,0,1,4,0,0,0,1,1,0,0,187.96,23,34
Blue,4.5,17.333333,0.166667,6.666667,0.666667,0,0.166667,1.166667,2,0,0,1,2,1,0,0,193.04,8.428571,35.285714,0.142857,9,3,0.142857,0.142857,1.571429,3,0,0,0,2,2,0,0,198.12,37,33
Blue,16.5,25,0.5,3.5,0.5,0,0,1,1,0,0,0,0,1,0,0,187.96,1,3,0,0.666667,0.666667,0,0.666667,1.666667,1,0,0,0,0,0,2,0,177.8,24,32
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,180.34,5,12.333333,0.333333,1.333333,0,0,0.333333,0,1,0,0,0,0,1,0,1,180.34,26,30
Blue,5.095238,40.666667,0.52381,6.619048,0.714286,0.190476,0.619048,1.142857,5,0,1,0,4,8,3,0,182.88,17.789474,62.842105,0.421053,5,0.947368,0,0.368421,0.263158,3,4,0,1,4,8,2,1,175.26,30,27
Blue,11.4,32.6,0.8,17.2,0.4,0,0.2,0,0,0,0,1,2,2,0,0,203.2,8.142857,31.714286,0.642857,5.642857,1.142857,0.357143,0.142857,0.642857,4,1,0,3,2,3,2,0,180.34,29,27
Blue,2.285714,11.428571,0.571429,0.571429,0,0,0.142857,0,4,1,0,0,0,3,0,0,193.04,9.5,35.333333,0.666667,0.666667,1.333333,0,0.166667,2,3,0,0,0,1,2,0,0,190.5,29,31
Blue,4.5,14.5,0.5,3.5,0,0,0,0.5,1,0,0,0,0,1,0,0,193.04,8.727273,24.818182,0.818182,9.272727,0.272727,0,0,0.272727,4,0,0,0,3,4,0,0,185.42,34,37
Blue,6,17.4,0.3,3.7,0.6,0.3,0.6,0.2,4,0,0,0,0,3,3,0,195.58,5,16.888889,0.166667,2.666667,0.777778,0.055556,0.277778,0.555556,7,1,1,0,1,5,4,0,203.2,27,36
Blue,7,24,0,6.5,0.5,0.5,0.5,1,2,0,0,0,0,0,0,0,180.34,4,15.5,0.5,0.5,0.5,0,0,0,1,0,0,0,0,1,0,0,195.58,28,23
Blue,11.2,31.6,0.2,8.8,2.2,0.6,1.4,0.6,1,0,0,1,1,0,2,0,170.18,2.916667,12.666667,0,6.916667,3.333333,0.166667,0.5,4.166667,5,1,0,0,5,0,2,0,165.1,28,34
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,193.04,10,37.833333,0.666667,4.333333,0.5,0.333333,0.166667,0.5,4,0,0,0,1,1,0,0,193.04,24,33
Blue,3,24,0,5,0,2,0,0,1,0,0,0,0,0,0,0,175.26,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,175.26,27,28
Blue,7.625,42.125,0,10.625,1.5,0,0.125,1.875,3,0,0,1,3,1,0,0,182.88,6.25,28.25,0.5,9,0.25,0,0,0.25,1,0,0,0,2,1,0,0,193.04,30,31
Red,15.4,20.6,1.2,6.6,1.4,0,0.2,1.4,3,0,0,0,1,1,0,0,177.8,7.5,16.5,0,2,0,0,0.5,1,1,0,0,0,0,0,1,0,190.5,30,26
Blue,7,17.333333,0.333333,3,0,0,0,0.333333,1,0,0,0,1,1,0,0,170.18,13.5,20,0,4,0.5,0,0,1,1,0,0,0,1,0,0,0,170.18,30,27
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,7,32,0,13,0.25,0,0,0.25,3,0,0,0,1,0,0,0,182.88,24,28
Blue,8.25,47.5,0.25,31.25,0,0,0,0,2,0,0,0,0,2,0,0,177.8,13,19.6,0.5,12.85,0.1,0,0.05,0.35,6,0,1,1,5,7,0,0,190.5,30,33
Blue,4.428571,23.714286,0,6.714286,2.142857,0,0.285714,1,2,0,0,0,1,3,1,0,195.58,5.125,8,0.125,3.875,1.375,0,0,1.75,4,0,0,1,2,1,0,0,198.12,30,37
Red,14.2,26.3,0.45,8.65,0,0.15,0.05,0.45,9,1,0,1,6,4,0,0,185.42,11.166667,25.5,1,9.5,0.5,0,0.166667,1.5,2,0,0,1,2,1,0,0,177.8,32,34
Blue,14.333333,23.666667,0,7.666667,2.666667,0.166667,1,1.666667,2,0,0,1,1,0,2,0,157.48,17.25,50.625,0,7.75,0.875,0.125,0,0.125,3,1,0,2,3,0,0,0,162.56,33,33
Blue,6.8,6.6,0,4.6,1.4,0.2,0.8,1.2,3,0,0,0,0,0,2,0,193.04,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,?,31,?
Red,18.666667,20,0.666667,2.333333,0.333333,0,0,0,1,0,0,1,1,0,0,0,182.88,4,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,180.34,28,25
Red,15.25,36.25,0,14.5,0.25,0,0,1,3,0,0,0,1,0,0,0,160.02,13,26,0,21,0,1,0,0,1,0,0,0,0,0,0,0,165.1,36,31
Blue,8.2,31.8,0,8.2,0.2,0,0,1,3,0,0,1,1,0,0,0,185.42,12.4,23.48,0.24,8.2,0.12,0.04,0,0.6,13,1,0,2,5,4,0,1,175.26,29,34
Blue,33,47,1,6,2,0,0,0,0,0,0,0,1,0,0,0,185.42,10,30.333333,0,12.5,1.666667,0,0.333333,6.166667,1,1,0,0,5,0,0,0,177.8,30,29
Red,2.666667,16.833333,0.166667,0.5,0.833333,0.5,0.666667,1,2,0,0,0,0,1,3,0,195.58,19.5,47,0,10.5,5,0,1.5,2.5,1,0,0,0,0,0,1,0,205.74,31,26
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,5.375,12.5,0,0.75,5.25,0.25,1.375,2.75,3,1,0,0,3,0,2,0,160.02,28,25
